% 1-Bed,% 2-Bed,% 3-Bed,% 4-Bed,% Studios,Amenities,Avg Effective/SF,Avg Effective/Unit,Avg Unit SF,Building Class,Ceiling Ht,City,Closest Transit Stop Dist (mi),Features,Four Bedroom Avg SF,Land Area (AC),Latitude,LEED Certified,Longitude,Number Of Elevators,Number Of Stories,Number Of Units,One Bedroom Avg SF,Parking Ratio,Rent/SF/Yr,RBA,Studio Avg SF,Style,Submarket Name,Three Bedroom Avg SF,Two Bedroom Avg SF,Year Built,Year Renovated,Zip,Zoning
,69.23,30.77,,,"Air Conditioning, Clubhouse, Courtyard, Fitness Center, Playground, Property Manager on Site, Sauna, Spa, Storage Space, Maintenance on site, Sundeck, Patio, Wheelchair Accessible (Rooms), Window Coverings",1.81,1878,1036,B,,Vancouver,7.58,"Air Conditioning, Clubhouse, Courtyard, Fitness Center, Playground, Property Manager on Site, Sauna, Spa, Storage Space, Maintenance on site, Sundeck, Patio, Wheelchair Accessible (Rooms), Window Coverings",,5.84,45.6165930,,-122.5425550,0,2,104,,1.95,Not Disclosed,108264,,Garden,Cascade Park,1216,956,1991,2015,98683,R-30
22.22,66.67,11.11,,,"Air Conditioning, Wheelchair Accessible (Rooms)",1.53,1405,920,B,,Vancouver,7.82,"Air Conditioning, Wheelchair Accessible (Rooms)",,1.839,45.6159112,,-122.5365023,0,2,36,697,0.94,Not Disclosed,48550,,Garden,Cascade Park,1125,960,1996,,98683,ME
91.67,8.33,,,,Laundry Facilities,1.70,854,501,C,,Vancouver,7.69,Laundry Facilities,,0.82,45.6270730,,-122.5866310,0,2,24,487,1.40,Not Disclosed,12195,,Low-Rise,North Garrison Heights,,656,1984,,98664-1973,"R30, Vancouver"
50.00,50.00,,,,"Clubhouse, Courtyard, Laundry Facilities, Playground, Pet Play Area, Deck",1.95,1539,790,B,,Vancouver,16.27,"Clubhouse, Courtyard, Laundry Facilities, Playground, Pet Play Area, Deck",,4.78,45.6948600,,-122.6627040,0,2,120,660,0.20,Not Disclosed,93760,,Garden,Starcrest,,920,1982,2018,98685,MG
30.56,63.89,5.56,,,"24 Hour Access, Air Conditioning, Clubhouse, Recycling, Smoke Free, Storage Space, Wheelchair Accessible (Rooms)",1.91,1707,895,C,,Vancouver,6.88,"24 Hour Access, Air Conditioning, Clubhouse, Recycling, Smoke Free, Storage Space, Wheelchair Accessible (Rooms)",,3.08,45.6141000,,-122.5607570,0,3,72,697,0.69,Not Disclosed,108549,,Garden,Ellsworth Springs,1235,960,1999,,98664,R-
47.76,52.24,,,,"Air Conditioning, Business Center, Fitness Center, Spa, Gated, Breakfast/Coffee Concierge, Car Wash Area, Gameroom, Media Center/Movie Theatre, Wheelchair Accessible (Rooms)",1.57,1613,1028,B,,Vancouver,7.13,"Air Conditioning, Business Center, Fitness Center, Spa, Gated, Breakfast/Coffee Concierge, Car Wash Area, Gameroom, Media Center/Movie Theatre, Wheelchair Accessible (Rooms)",,15.23,45.6128350,,-122.5571370,0,3,268,872,,Not Disclosed,284524,,Garden,Ellsworth Springs,,1172,1995,,98664-6100,MG
42.11,57.89,,,,"Clubhouse, Courtyard, Fitness Center, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Car Wash Area, Laundry Service, Recycling, Wi-Fi, Smoke Free, Wheelchair Accessible (Rooms)",1.41,1126,800,C,,Vancouver,7.14,"Clubhouse, Courtyard, Fitness Center, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Car Wash Area, Laundry Service, Recycling, Wi-Fi, Smoke Free, Wheelchair Accessible (Rooms)",,14.38,45.6147840,,-122.5559150,0,2,304,800,1.27,Not Disclosed,243200,,Garden,Ellsworth Springs,,800,1988,,98664-5100,MG
,100.00,,,,"Air Conditioning, Wheelchair Accessible (Rooms)",1.03,919,895,C,,Camas,14.24,"Air Conditioning, Wheelchair Accessible (Rooms)",,,45.5786800,,-122.3906190,0,3,20,,,Not Disclosed,33087,,Low-Rise,Outlying Vancouver,,895,1998,,98607,
,94.29,5.71,,,"Air Conditioning, Property Manager on Site, Storage Space, Maintenance on site, Patio, Wheelchair Accessible (Rooms)",1.28,1388,1086,B,,Gresham,11.16,"Air Conditioning, Property Manager on Site, Storage Space, Maintenance on site, Patio, Wheelchair Accessible (Rooms)",,3.36,45.4893307,,-122.4800502,0,2,70,,1.57,Not Disclosed,76200,,Garden,Gresham-Centennial,1259,1075,1997,,97080,MDR24
33.33,55.83,10.83,,,"24 Hour Access, Air Conditioning, Courtyard, Picnic Area, Playground, Property Manager on Site, Pet Play Area, Walking/Biking Trails, Patio, Wheelchair Accessible (Rooms)",1.35,1366,1009,B,,Gresham,11.12,"24 Hour Access, Air Conditioning, Courtyard, Picnic Area, Playground, Property Manager on Site, Pet Play Area, Walking/Biking Trails, Patio, Wheelchair Accessible (Rooms)",,7.06,45.4883810,,-122.4804560,0,2,120,817,1.52,Not Disclosed,124560,,Garden,Gresham-Centennial,1259,1075,1998,,97080-7310,"CMF, Gresham"
